,评论
0,我其实怕的是这个调查结果会被顶层用做政策反馈，然后会觉得社会问题解决起来如此简单，只要顶住压力大干特干就行，什么当时提反对意见的专家学者都是纸老虎，危言耸听。当年大跃进也是同样背景从一开始15年超英赶美，后来5年再后来3年。上面提要求下面放卫星，然后上面根据下面放的卫星提高要求，下面根据上面的要求放更高的卫星，没有一个负反馈渠道。
1,一位家长退群，全国家长声援，中国式教育减压究竟还有无希望？批改学生的作业本是老师的天职，为何成了家长下班后无法摆脱的难题？老师群体真的江河日下，越来越不负责任吗？“双减新政“出台后，具体成效究竟怎样？
2,一个漂亮的小姐姐走过来，手里拿着一份调查问卷，你不想自己表现的像个傻子一样小姐姐开始记录：请问您有在上学的孩子吗？是的请问您认为孩子应该有一个快乐的童年吗是的请问您是否认为过重的学业压力会对孩子造成生理或心理上的危害吗是的请问您是否觉得现在的校外培训会对您的家庭造成较大的经济压力吗是的请问您是否想要减轻自己的经济压力吗是的那么请问您，是否赞同教育部的双减政策呢？是。。。。。的或者我们可以换一种说法一个漂亮的小姐姐走过来，手里拿着一份调查问卷，你不想自己表现的像个傻子一样小姐姐开始记录：请问您是否有在上学的孩子呢是的请问您是否担心孩子的未来发展是的请问您是否觉得孩子未来的竞争会非常的激烈是的请问您是否认为孩子应该学习更多的技能以应对日后的竞争是的请问您是否坚信公立学校的教育无法做到面面俱到呢是的那请问您是否不完全赞同双减政策呢是。。。。的？到时候我们只要发布最后一个问题就可以了，一般有信誉的统计工作者不会这么干，还好他们人不多。
3,我看了相关新闻内容。监测平台以二维码形式邀请家长无记名通过网络直接填写调查问卷，共收到5737.7万份家长问卷，99.6%的学生家长反映，本学期老师没有给家长布置作业或要求家长批改作业。基础教育“双减工作”监测平台显示，97.5%的家长对学校新学期减负提质的各项措施和成效表示满意，其中六成以上家长表示非常满意。我很好奇那2.5%的家长是什么情况，怎么想的？为什么会对双减工作不满意？据我所知，目前校内作业已经大幅减少，课后延迟放学也基本上落实了，应该说大大减少了家长的负担，孩子的学业压力也减小不少，按理说应该是皆大欢喜啊，怎么还有2.5%的家长不满意呢？这个现象值得研究一下。
4,我是属于2.5%的，因为我家老二初三了，二百多天后中考，正赶上双减，倒霉到家了，补课的学校周末两天不补课了，改周一到周五的晚八点以后，看看，到了19：30孩子放学的时候，校门口家长排队接孩子，然后到小饭馆吃碗面，急急忙忙去补课，两小时后回家，加路上时间，已经22：30了，孩子开始写学校留的作业，大概一个半小时写完，此时已经23：59了，洗漱睡觉，5分钟完事儿，上床时已经零时10分了，感觉时间比以前紧张多了，以前周日周六补课时间多充足啊，而且开学不到一月，我就填了十来个问卷调查，各种不知名的，说不上的问卷，我填表之前问候了好多次教育部门的MM，不知道教育局知道不？现在我们这里周六周日补课班已经改成体能训练班了，前半小时做些体育小动作，然后写英语卷子，然后考英语体育知识(大伙应该懂)然后又讲体育英语。嗯，我正在打听有没有体育数学老师，目前还没有找到，找到了再更。
5,居然有2.5%的人是五十万小心拜登打2.5%牌
6,居然有2.5%的人是五十万小心拜登打2.5%牌
7,我先来讲几个故事，大家再来谈双减、补课的必要性吧。各位兄弟姐妹，权当一个笑话听。我做过挺长时间的小学生晚托班。说是晚托班，其实就是父母996不便接娃放学，找个人帮忙放学接娃，顺便吃个晚饭，写完作业再回家。晚托班总归比请保姆便宜，而且一般保姆其实是不懂小学生作业的。我们经常有9点钟父母才下班到这边来接娃回去的。这是前提。这里面有几个娃，我是特别关注的。第一个，简称G吧。这个小姑娘一年级，日常不及格。她妈妈不爱检查她的作业，但一直责怪她粗心。但是，粗心大多数时候只会从95分变成90分，很少有不及格是粗心引起的。G的日常对话非常正常，而且像个小大人的样子，闲聊起来接话很快。说明智商没问题。问题目会不会做，也都会做。于是我决定盯着她写作业的状态看。原来她不管做什么，过一会儿就会停下来走神。可以是冥想，也可以是玩文具，又或者倾听别的小朋友讲话。所以经常写到一半不写了，字少半边，少最后一个点，算出来答案不写跳过去等等。是否多动症，这不是我可以解决的，马上和老板讲，当天家长来接，就沟通建议送医，并强烈建议家长不要责备、打骂粗心这个问题。写作业的部分，死死盯住，刚开始走神就要提醒，并要求她自己提醒自己。经半个学期后，明显改善。学校里原来的班主任对她有成见，只批评不表扬，家长自身也有转班的意愿。我们极力赞成转班，帮助家长下定决心。成绩正常后，其母又决定全职带娃，遂离开晚托班。想来这个小姑娘以后不会再这么差了。第二个，简称L。这个小男孩两年级了，表现欲极强，极尽所能引起注意，特别是喜欢影响其他小朋友。学校里老师对其深恶痛绝，引发逆反心理，他已经开始无差别对抗所有老师。无奈的是，作为晚托班集体上课的老师，我仍然有维持秩序的基本诉求，因此也属于被对抗之列，没有任何立场来帮助他。毕竟，其他学生正常写作业的权利必须得到保障。其实对于这样的学生，一对一的心理支持，辅以家校联动，会有一定效果。要向他挑明这种做法会使人厌恶。其实学生本人绝对是知道这一点的，内心不愿意承认罢了。让他承认这样做对他自己有害，然后给他提供一个新的方法，试一试，再让其他学生配合一点，慢慢就可以有所改观。但这个只有学校里老师能做到，我管不了。由于他完全不信任我，只得放弃。L的未来非常悲观。他的学习成绩逐步下降，不愿意听课和做作业，彻底厌学是大概率事件，甚至会从对抗老师变为对抗整个社会规范，发展成反社会人格。但他的这种对抗不是天生的，而是一年级时班主任老师的解决方法不正确引起的。可以说就是一个老师毁掉了一个孩子的典型。这个孩子本来是可以教好的。第三个，简称S。这个小姑娘也是一年级。典型表现是对老师的批评不发一言。凶她会哭，但就是不说话。平时都是我接她放学，她还有一个同班同学J也在我们这里上晚托班。有一天放学后，J出来时，说S被班主任老师留下了。于是我打电话喊人支援，先把J接回去写作业，我继续等S。一直等了快两个小时，天都要黑了，S才和班主任老师一起出来。她的班主任老师非常严厉的跟我说：“你是晚托班老师对吧？你回去转告一下她家长，S这个小孩子脾气特别差的，无缘无故就打J，我问她她也不说话，就不承认。还有，她有一张练习卷要家长签字的，今天还没交，让家长回家仔细找找。”据我在晚托班上观察，J和S是非常好的朋友，经常互相讲话、一起玩耍和抄作业。所以这个事我一下子就明白怎么回事了。极大概率是课间J和S开玩笑，嘴贱说了句什么（比如嘲笑她成绩差），S有点不高兴就轻轻打了一下。小孩子嘛，互相告状很正常的，哪知道老师会这么严肃对待。老师对成绩不太好的学生又会有天然的敌视，如果S回答说“是J先骂我的”，以老师正常的态度就会回答说：“她骂你你也不可以打人啊，你可以告诉老师啊。”但是，一来她俩是朋友，为什么要告诉老师呢？二来可以想象得到，如果S真的因为J骂她去告老师，老师会站在哪一边呢？老师肯定会问有没有，然后判S一个诬告。我没有再批评S一句话。我牵着她的手，抱着晚托班的红色牌子走回去，并对她说：“S，今天这个事，我知道不是你的问题。关于打人这个事，我不会跟家长讲的。那张练习卷，你可能没有考好，但是如果你们要开家长会，最后还是要知道的，你不如自己承认。这件事你自己选择。”坦白讲，当时家校互动微信群已经很普遍了，我也不知道这位班主任老师为什么要我们晚托班老师转达，可能老师和家长之间的沟通也有些问题。也是幸好他要求我转达，我可以隐去这些错误信息，要不然S除了在学校里白受冤枉挨骂这两个小时，回家怕是还要挨顿揍。但是，你问我怎么改变这个沉默对抗的问题，我是真的没有办法。如果说什么都会被“你不要找理由”来反驳，那最好的办法自然是一句话都不说。在受一个委屈和受两个委屈之间，S选择了受一个委屈。据我观察，后来其他晚托班的老师批评她，她也是这个样，已经习惯了。我又不是主要管她那个班的，没办法。这种沉默的对抗，老师要占99%的责任。这位班主任不仅疏于观察，不知道J和S本来就喜欢闹着玩，又采取错误的批评教育方法，令学生产生对抗心态，还对学生有成见，教学成果怎么会好呢？后来，大家作业写完了做活动，我偶尔过去巡视，她会显得很高兴的样子。也许，这就是我能做的最好的部分。不是我要开地图炮，但是，绝大部分老师，都是水平很差很差的。补课的老师，尤其是一对一的老师，或者我们这种小班的，能够给某个特定小朋友更多的关注，更多的是做一些心理建设，养成良好的习惯，尽量不要厌学，不要产生对抗老师的情绪。谁小时候没犯过错，没被冤枉过？这些小朋友做的事，老师小时候没做过吗？怎么自己当老师了，这些小时候的经历都忘记了呢？在学校老师水平非常之差、家长可能长期以来已经不被信任的情况下，补课老师作为中立第三方，其实更有可能赢取学生的信任，引导学生走上正轨。我相信知乎有很多大学生做一对一家教，是真的会遇到很多厌学的小朋友，也真的能改变其中的少数几个。而这，就是家教最基本的意义。我知道禁止补课在国家的立场上，绝对是公平的。如果把全体学生当做一个完全相同的集体，那么这是没有任何问题的。但是，这些抽到垃圾老师或垃圾家长，或生了病的特殊小朋友，永远失去了第三方老师努力尝试弥补的机会。他们，也是人。我老婆一直坚定支持禁止补课，因为对大部分学生来说，补课并没有什么卵用。是的，我同意这个观点。但就那一个学期的晚托班，一共20来个小学生，有问题的除了这3个，至少还有6个。以致于连我都没有太多精力分给其他几个小朋友了。你指望学校里老师怎么办呢？考试选拔的是有良好的学习习惯和能力，并且智商高的学生。不能提前排除那些因为随机原因辍学或厌学的学生。有些小朋友厌学，可能只是因为某天被老师顺口嘲笑了一句，然后自尊心比较强，报复心也比较重。但这不是他的错，一个七八岁的小孩子，懂得什么？大人应该对此负责，而学校里老师，根本无需对此负责。顺便问一句，这个问题的排名是怎么回事，下面那个4000多赞摆事实的，怎么排名这么低，谁点的反对？这么作秀的活动你们点什么反对？嗯？觉得这种活动很好？？？带娃下楼挖蚯蚓，认识植物认识大自然，观察蚂蚁，这不好吗？？？
8,"上午发过一次，给我删了说我违规，那我就修改一下。一下原文：想起一个小时候看过的故事美国,香港,苏联三地警察抓兔子测试美国,香港,苏联三地警察的实力,联合国将三只兔子放在三个森林中,看三地警察谁先找出兔子.任务:找出兔子第一个进森林的是美国警察,他们先花整整半天时间开会制定作战计划,严格分工,然后派特种部队快速进入森林进行地毯式搜索,结果开会耽搁了时间,兔子跑了,任务失败!!!!然后轮到香港警察,他们派了一百多号人和几十辆警车在身临其境外一字排开,由带头人用喇叭喊话:&#34;兔子,兔子,你已经被包围了,快出来投降......&#34;半天过去了,没动静.飞虎队进入森林,搜索一遍,没结果,任务失败!!!!最后是苏联警察,只有四个,先打了一天的麻将,黄昏时一人拿一警棍进入森林,没五分钟,听到森林里传来一阵动物的惨叫,苏联警察一人抽着一根烟有说有笑的出来,后面拖着一只鼻青脸肿的熊,熊奄奄一息的说到:&#34;不要再打了,我就是兔子.......&#34;"
9,这个问题在这里就是多此一举。你如果相信97.5%，那又何必跑来问？莫非剩余2.5%全在知乎？你如果不相信97.5%，那又何必跑来问？你自己都知道答案了。
10,#教育部将加大查处一对一私教等违规行为#突发奇想——如果爷爷辅导孙子被儿子举报了，会不会被拘留呢？
11,这个生动形像的演示了什么叫放了一个麻花屁。中国现在那怕是强制50人一班，那也远远不够解决学生各方面问题的程度。比如良好习惯的养成，这个在家长没有足够时间，长时间跟踪式陪学情况下，学校是不管的，那凭什么别人不能花这钱了？比如知识点过关，这个学校和教师也不管了，只是大而化之的讲一下试卷，不会精确到学生，因为会拖堂和留校。有些家长讲的都不是人话了，说双减了，课是不补了，但别的家长有高学历，这也不公平。那很好解决啊，全托管式嘛，孩子生下来，你国家带走培养呗，这时就不要扯家庭教育了好吧，绝对公平了吧。家长那怕学历高，但不是人人都从事教育工作，两口子就一道数学题怎么教，打一通宵架的事，家长群和同学群里大家都叹过这气，更专业的教师，用于课外讲解，在线还是不在线的，是有需要的。学校老是要求家庭参与，但是老中青三代，你教改连教材和知识点的结构这几十年都有改动，就简单的一个汉字的笔顺，居然能整出三套标准来，搞几次以后，孩子信你个鬼，你们都是糟老头子。难道你让家长也像教师那样，每门课都写个教案？还能再无耻点不？那我不选义教，我愿交钱，义教免费是免费，它要当爷，我不惯着。说完这些家校的问题，我再问一个核心问题，以前是高考分流决定你的人生，现在提前到中学了，就这里考大家一个问题，假如你孩子出生在县城里，要怎么才能上，国家级标范中学？国家级示范校和县级示范校的评定标准是一样的吗？如果不一样，那意味着师资力量的差距，他想上更好的学校，没错吧，那他要怎么才能上呢？如果是一样的，那是不是意味着国家级的和县级的在师资上是一视同仁的，那你评个der的国家还是县级，只是行政级别的差距么？这个97.5%，也很容易达到啊，你问清华和地级市三本是不是一样的，只要家长认可说是的，你再把这问卷给他们，那没达到100%，说明有2.5%的家长，就是面带猪像，心里嘹亮的人物。所谓打击有些课堂不教，课后补。你义教三十多年了，都没标准的么？现在我女儿的班上，语文不练写作，没有阅读要求，英语不记单词，数学只刷题，不记公式。我们反映了，说这特么也是减负要求，我连教师课堂上不教，都没话说了。而且在家长群里，老师压根就没要求你报班。我接受过义教全过程，自已工作后参加过5年，也是义教这阶段的。没有这么不负责过，这那是老师，就纯看孩子的。问来问去，合着全是原义教的内容减去的。这你下文打击的是谁？是不良教师么？实在不行全给家长也干了，可是没作业和试卷，家长都是买试卷考孩子，自已打分自已补课。现在开个家长会，教师已经不讨论学校教学工作了，全是在做家庭教育指导了。不管是双减还是减负，都是给学校和孩子减，全力增压在家庭。别人不敢说，也管不了，懒得较真，你还真以为是97.5%满意。你有本事把这问卷发我女儿的家长群试试不？
12,中秋回家路过我姑家，喝了口水跟我姑聊了半天，看两个小侄子埋头在那写作业，我妈还在上班也不急着回去，就开始给俩小孩指导一下作业。从一点多指导到三点半我发现有点不对劲，这作业好像有点多，在我指导下速度明显加快大侄子的数学习题册将将写了一半，我转头问我姑，这作业也太多了，现在不是减负嘛？我姑说，老师布置的作业昨晚上就写完了，就一点点加起来不超过一个小时。我问这个习题册是怎么回事。我姑说这是我哥买的练习册，家里的作业。我心里想了想，我哥还挺狠啊。又写了大概一个小时，距离12页这个小目标还差三页，我已经渴的说不动了，大侄子太老实了，看我看着他一点也不敢开小差，埋头写了一下午了，我中途给他递牛奶递水果他头都没抬一下，一直边写边念思路（我教他的），着实让人心疼。我又问我姑，这些作业写差不多就行了，小孩子还是要给点时间玩一玩。我姑说不行，这作业老师要检查的。我说这不是家里的作业吗，练习册不是我哥买的吗？我姑说这是老师让家长自愿买的，一周检查一次。我算是彻底明白了，政策对策被玩明白了啊，不留家庭作业没说不准家长给孩子加作业啊，这些作业还统一内容，说是自愿，在学校这个小社会里面就是赤裸裸的绑架啊，没人愿意做，但是迫于形势又不得不做，没有人愿意承担这个后果，孩子怕被孤立，家长怕被老师单聊没面子，减来减去，这作业反而越来越多了。因为第二天我去我姑家借鱼竿，发现大侄子还在写作业，我以为他偷懒了，三页写这么久，没想到他快写到20页了，12页不过是昨天的小目标，第三天我去还鱼竿，大侄子还是在那做习题册，想想之前意气风发肉嘟嘟的大侄子，变成了沉默寡言，骨瘦嶙峋的样子，减负？解放天性？我十分赞同要给学生减负，但减负不只是形式上的，要做到意识形态上的减负，显然还有很长的路要走。
13,卧槽，居然还有2.5%的人不满意？？？谁给你们的胆子不满意？
14,"&#34;Therearethreekindsoflies:lies,damnedlies,andstatistics”-BenjaminDisraeli世界上有三种谎言:谎言、糟糕透顶的谎言和统计数据-英国首相本杰明·迪斯雷利"
15,有整有零的数字，看得我都不会了！这么高的满意率，和我观察到的周边人的情况差距太大了。像这种涉及自身利益的调查，交给第三方不好吗？自己评价自己的做法，实际上是在拿自己的信用去赌博！
16,从90年代就开始喊减负减负的，结果呢，是不是越减越负也不知道是出于什么原因啊，硬是一代一代的，把高年级的知识往下压到低年级。比如我爸当年高中才学的数学物理知识，我初中就学了，我中学大学才学的数学和高数知识，现在中小学的学生就学了。而且这些专业知识，毕业后根本用不到，唯一用到的地方是辅导闺蜜上小学的小孩。如果教委管这叫&#39;&#39;减负&#39;&#39;，那我是真不理解，什么才叫&#39;&#39;过重&#39;&#39;了。因为不是每一科都留作业的，所以我当年完全是可以课间时间就把作业全写完了再回家的，就这当年还在喊着要给中小学生减负呢，反观现在小孩子的作业，根本达不到当年那样。所以这20多年来，教委到底有没有减负哟
17,沉默的大多数，被代表了
18,我这里，这两天三四年级的考试成绩出来了。别大惊小怪的，每个学校政策不同。有的严格按照规定不许考试，有的是改卷子不打分数。一个不算好的消息，不少家长跟我聊自己孩子成绩下降，而且，是整个班级普遍下降。“这样下去怎么搞哦，高中都考不上。”我只能是安慰：“普遍下降，意味着你家孩子有更多的反超机会啊。”嗯？这么一讲，这家长立刻就对双减政策满意了起来。所以啊，不是那2.5%的家长不满意，只是因为工作没有做到位。
19,海明威说过：“世界上有三种谎言：谎言、该死的谎言、统计数字。”他少说了一种最糟糕的谎言：能误导决策的统计数字。
20,这题我不会！刚发现该问题不支持匿名
21,你们说的是这个事儿么？标准答案再填错，家长可以开除了。
22,大家可能不满意吗？群众纷纷喜迎油价上涨
23,话不多说，我们从孩子一大早起床开始说起：早上六点多一点，做妈妈的就要起床急匆匆洗刷一番，然后着急忙慌地做好早餐，接着就把沉迷于睡梦中的小家伙从热乎乎地被窝里拽起来。说实话，看着小的小豆虫一样的小家伙，在半睡半醒中，睁开朦朦胧胧的双眼的一瞬间，做妈妈的没几个人是不心疼的。可心疼有什么办法？这就是生活，这就是现实。好不容易把孩子晃醒了，妈妈还要一边盛饭一边催命似的喊：“快点滴，不然迟到了。”在匆匆忙忙、慌慌张张中，孩子们不紧不慢地吃饭、穿衣、背书包，然后乌龟爬行的速度下楼，然后妈妈们再骑上电车以闪电的速度快速向学校奔跑。在这里提一下，虽然妈妈们想以闪电般的速度飞奔到学校，可现实不允许。毕竟，妈妈们这小体格子，根本追不上那壮得跟变形金刚似的小汽车，更无法与好大威猛、遍地横飞的大货车相抗衡。大家只能努力在夹缝中找到一条生路，然后趁它们心情好，滋溜一下钻进去，这才能在上课铃响起之前把孩子安全、准时地送到学校门口。然后，弱小的孩子，在妈妈的叮嘱声中背起庞大而沉重的书包，消失在妈妈的视线中。这里提到庞大而沉重的书包，不得不提一句，一直以来大人对孩子有一个很深刻的误解，那就是现在的孩子都太娇气了，就连书包也得家长帮忙背着。坦白说，在孩子没进入小学之前，很多家长都是这样认为的，我也不例外。我不光认为现在的孩子太脆弱，还跟很多家长一样想:“孩子的书包就应该自己背。长辈们不得斩断孩子成长的机会。”直到有一天，我家小不点上了小学。放学后，他们喊着:“妈妈，书包压得我胳膊好疼”的时候，我才在半信半疑中帮他们提书包。这不提不知道，一提吓一跳。这小小的书包确实挺沉的。后来，我仔细看了看孩子书包里并没有太多东西。但是，因为放学后孩子们要走一段路程才能到家长接送地点。时间和路程让轻松的书包变得异常沉重。自从了解了真实原因后，我再也不觉得孩子背不动书包，是因为矫情了。虽然我还有更多家长能理解孩子的不易，却依然搞不明白孩子们为什么要把用得到的、用不到的东西都塞到书包里，然后来来回回背着？难道晚上放学后，把用不到的东西放桌洞里会被老鼠偷走吗？说完上学的事，我们继续聊放学后的事。孩子早上七点多到校，下午六点多到家，这就意味着，孩子在学校里一待就是十多个小时。这十多个小时，孩子们除了正常上课、下课、午休外，也会参加丰富多彩的社团活动。说实话，多姿多彩的学校生活，对孩子们的成长来说是十分有意义的。只不过，有一个问题是因为上学时间早，导致幼小的孩子觉不够睡。还有一个问题就是因为在学校待的时间太长，外加消化太快等原因，导致孩子们经常出现吃不饱饭的状态。从这些方面来看，学校既然要双减就应该方方面面都减，而不是减这里加那里。这样做的结果很有可能越减越重。说完这些，我们再聊一聊放学以后的事：放学后，孩子们几乎没有书面作业。但常常要忙到很晚。这是为嘛呢？因为家长们要填一些报告，做一些公众平台的任务、画手抄报，亦或者去完成一些与孩子学习任务没关系却必须得去完成的事。总体说来，双减以来书面作业量确实减下来了，但不必要的负仍然在民间跳跃，累得孩子睡不够觉，累得家长天天熬夜……好在，人在中年不得不熬去:既要熬工作的苦，也要熬教育得苦。如果你不加班，就没工资吃饭；你不加班加点搞教育，自己的孩子咋办？想来想去，工作上加不加班，工资还是只减不增（动不动被扣钱）；教育上再卷，孩子长大后大概率上还是要搬砖，还是要继续吃工作和教育的苦……想到这些，真的好想躺平。可真的要躺平吗？又有权利躺平吗？注:图片来自网络。侵删！
24,我挺想知道那些不满意的，是不满意什么。
25,一堆培训班的人在那YY作为一个家长，老师只发了个通知，之后就没管过。假如你说这样也是不会有真答案课后托管用脚投票总行了吧，一个班40多人，选择一放学就接走的就三四个，其他都至少是自习40分钟，和兴趣小组40分钟都待学校的，基本到5点，还有十多个是前面两项之后还要在学校待一个小时自习。骂这项制度的有部分是老师另外一大部分是培训班。呵呵，继续YY吧。
26,开学一个月还不到，现在就问成效的话，操之过急了些。
27,我其实怕的是这个调查结果会被顶层用做政策反馈，然后会觉得社会问题解决起来如此简单，只要顶住压力大干特干就行，什么当时提反对意见的专家学者都是纸老虎，危言耸听。
28,满意个屁！我大女儿今年小学一年级，按照双减政策，除了周末，国庆寒暑假之类的，平日里周一到周五没有书面家庭作业我是怎么想的呢以前大家都补课，大家在明面上竞争，现在好家伙，直接一二年级不写作业，你少布置也行啊，利于巩固所学，我不想自己女儿将来五五分去职校，我得在其他家孩子玩儿的时候，给她开小灶，给她买了语文数学一整套随课练，要求她每天跟随进度做，我回家检查。我相信像我这样的家长不少，都想趁着别家孩子不写作业放学后疯玩儿，自己家孩子暗暗努力弯道超车，提升学习。我想到了其他家长也肯定想到了，这样大家都暗自发力，但别的孩子是不是做两套习题？课后学习更长时间？？不行，得加码，家长更焦虑了综上，双减政策对学生来说负担更重了，作业更多了，家长更焦虑了...
29,一共发了200份问卷，195份是一个人填的？这样给出调查结果本科答辩都过不了的哦…
30,俺又要讲苏联笑话了。《真理报》记者采访了五位莫斯科市民，他们分别是政治局常委、将军、富商、克格勃和普通市民。记者询问了他们对苏联现状的看法，其余人都表示很满意，只有市民抱怨买不到过冬的煤炭。第二天，《真理报》刊登了头条文章《八成苏联人民民对苏联现状表示满意》，在报纸的背板还有一篇豆腐块大的文章《近日，克格勃逮捕了一名反苏分子》。
31,有小朋友是读公立的公立这边确实减负，暑假作业一看吓一跳那种但私立呢？网课啥的一应俱全，该上的上该补的补反正今年公立学校成绩不会很好看我也有点着急..
32,9月23日，教育部召开通气会。会上介绍，根据基础教育“双减”工作监测平台直报信息，截至9月22日，有16万所义务教育学校填报了有关信息，其中92.1%的学校建立了校内作业公示制度，64.3%的学校绝大部分学生能在规定时间内完成作业。监测平台以二维码形式邀请家长无记名通过网络直接填写调查问卷，共收到5737.7万份家长问卷，99.6%的学生家长反映，本学期老师没有给家长布置作业或要求家长批改作业。基础教育“双减工作”监测平台显示，97.5%的家长对学校新学期减负提质的各项措施和成效表示满意，其中六成以上家长表示非常满意。对比一下团中央的调研：学生家长怎么看“双减”？团中央进行50万份样本大调查问题1：学生家长对“双减”政策是否支持？调查情况显示：86.8%的受访家长支持提高校内教学质量，同时减轻学生校外培训负担。74.8%的受访家长支持减少机械重复的刷题，减轻孩子作业负担。交互分析发现，对“双减”政策越了解的受访家长，越倾向支持减轻学生校外培训负担和作业负担。具体来看，对“双减”政策非常了解的受访家长中，对减轻培训负担、作业负担的支持率分别达到91.2%（高出平均水平4.4个百分点）和86.2%（高出平均水平11.4个百分点）。而只是初步了解政策信息的家长，支持比例偏低。86.8%的受访家长支持提高校内教学质量，同时减轻学生校外培训负担。团这一项调查的是你支不支持政策，而不是说效果。我们简单来理解，如果你根本不支持这项政策，是否会对这项政策的效果表示满意？答案很明显，会。因为虽然86.8%的家长支持政策，但97.5%的家长对效果表示满意，这背后的原因，何止暖心，简直烫心。问题2：“双减”政策会不会加重家长的教育焦虑？会不会导致很多家庭不知道该怎样培养孩子了？调查情况显示：72.7%受访家长表示教育焦虑有所缓解。中等收入群体缓解比例更高。调查显示，“双减”政策实施之后，大多数受访家长表示教育焦虑有所缓解，其中34.3%的受访家长表示缓解很多（同时，也有15.1%的受访家长表示没怎么缓解，6.5%的受访家长表示更焦虑了）。交互分析发现，孩子成绩处于中等、家庭收入处于中游的受访家长觉得有所缓解的比例较高，分别达到74.4%、73.7%。这说明，“双减”给家长带来的不是焦虑加深，而是很大程度上缓解了焦虑。72.7（焦虑缓解了）+15.1（焦虑没怎么缓解）+6.5（更焦虑了）=94.3我就纳闷了，教育部调研里面有2.5%的刺头，团的调研有5.7%的无厘头，这届家长真难带。但无论如何，有100%-72.7%=27.3%的焦虑没有缓解的家长，结合教育部的调研，虽然焦虑没缓解，但表示不满意的只有2.5%。赞。总的来说，不提数据结果的结构分布等问题，团团的调研结果在逻辑上存在一定的合理性。首先，团团的调研是针对政策、针对目的的，这个立意是正常的脑袋想出来的调研，因为你一个政策推出来，政策效果的调研不可能说一个多月就很明显了。而且这个是针对教育的，对家长来说，是不是焦虑，不是说回家不做作业了，就不焦虑了。我还是用之前的那句话，不公布排名了，家长就不焦虑了，这种家长比神剧里的鬼子还弱智吧。毕竟事关孩子的终身，绝大多数家长应该说都在观望，而不可能说已经有了满意或者不满意的定论。三年五年都未必有定论，一个多月结论就出来了，把家长和孩子们当成什么了？其次，团团的调研逻辑上比如说，了解政策的人比不了解政策的人更支持政策，这当然合逻辑啊。我问你，现在你所在的街道正在选代表，这人叫王富贵，你支不支持他？另一个角度，直观就反对的人，往往就不会进一步了解了嘛。然后，比如说收入中间、孩子成绩中间的，焦虑缓解度最高，这就是大家之前说的，往上上不去了的这批人，不再纠结，躺平了。97.5%的家长对……各项措施和成效表示满意……坚决抵制抗日神剧导演当领导的现象！！！
33,减负（指大部分东西不变，让你多填一份表格，大概率还是个比较繁琐的表格）
34,又赢麻了～
35,请诸位不要看我的答案，看看各位大V回答后的成百上千点赞以及网友评论区吧，真让我这个没孩子的人庆幸万分啊。我已经不愿意回答这类问题了，我想回答的是，诸君看完这么多，差不多的评论，真是天下之大，同一个“梦想”啊。敢问家长，路在何方？
36,我擦，你敢不满意吗？人家老师明确跟你说了，咱们各位对这个减负工作要满意，你做家长的，怎么办？满意，百利而无一害。不满意，惹得孩子老师生气。换你，你满意不满意？
37,还成效？屁用没有。
38,别的不说，至少学校门口的几家店铺是富了。各种学具作业本练习本书皮文件袋啥的，都是要求要有的，家长自己去买。一年级刚开学还没发校服，要家长按要求颜色买衣服鞋子去升旗唉~
39,该问题不能匿名所以我只能说这个人调查懂得都懂不懂的也不要问了
40,我能说脏话吗？不能吗？那我只能感恩啦
