,评论
41,我家娃日常记录。早上7:20起床，8:00上学，下午5点35放学，中午在学校吃饭，一天在学校理论上9小时35分钟，实际还要长一点。因为不可能卡着点进校，放学排队也要几分钟。说是早上8:30上课，结果学校要求老师8点进教室坐着，没要求孩子来，但是小孩觉得自己迟到了，非得8点去，说老师都去了害怕被批评。既然8:30上课，老师8点就坐教室里，几个意思啊？说下午不上延时课的可以3:30接回去，结果老师讲课，你接走就少听课，怎么办？傍晚5:40接到孩子，再带回家就6点多了，吃过晚饭将近7点，还要写作业到差不多8点，有时候还有英语打卡，活动拍照。忙完翻几页课外书，然后洗澡、刷牙，9点上床。一天就过完了。感觉就是孩子很累，上床就睡了。双减，在我这地方就这样。补充一下:我没有说老师不辛苦。只是对比以前，觉得双减后，比以前还累。
42,减负有啥不满意的，我就不想我儿子以后做作业做到八九点。
43,以前都是87.5%的，不知道为什么突然加了10%。可能是因为喜迎冬奥会？
44,1.有没有减负，请教委的人守在校门口，试试小学生们的书包有多重，我女儿的书包我是心疼不让她背。我一个成年人都觉得太沉了。2.学校发了二维码，调查双减政策落实情况。调查表上面只有“您的孩子读几年级，哪个学校的”，没有任何写名字的选项。为什么班主任知道我没有填写调查表，并催促赶紧填写？全都是匿名你能知道是谁写了，谁没写？
45,建议查查剩下的2.5%是什么成分，有没有不正当收入来源。一定要严防死守，不能放松警惕。
46,刚把这个新闻发给当老师的朋友看，朋友只回了一句，“他们要再不满意，我们就要死了。”学校的门房师傅发圈表示：“人已炸，不明白老师安排好的放学时间，为什么不能安安静静的等，这些爷爷奶奶要冲上来“抢”孩子。圈中另一个老师昨晚的盆友圈内容是“周末去看看墓地”开学至今的双减，执行到今天，最慌乱的，莫过于班主任。因为有各种调查问卷，填表，晚辅时间，社团时间，接孩子时间，接孩子地点。有的周一参加，周二不参加。有的参加社团但不参加晚辅。最忙碌的，莫过于主课老师。数学老师为例，早自习，两节课，四套作业本，中自习，订正，反馈过后，下午大课间后，就要进班进行作业辅导。并且，尽最大努力确保学生作业能在学校完成。越辅导越感觉时间不够用。最苦累的莫过于社团老师。副科老师每天平均至少五节课，声嘶力竭后，经过晚辅课稍事休息，由于多才多艺，被安排进各年级各班混编的社团里。社团的要求是，1要动起来，2最好不使用需要花钱的材料。避免因为买材料被家长投诉。最开心的，莫过于家长。下班不用往学校赶了。回家不用辅导作业了。没有作业问题，就再也不会收到老师的反馈信息了。外面培训班关闭，时间精力金钱也都省下了。然后，最慌乱忙碌苦累的，莫过于学生。因为课间都是头也不抬的在忙作业。所有的活动时间被集中在了大课间。四五点的时候，部分出现了无心学习的状况，因为肚子咕咕作响。晚上回家，吃饭洗澡倒头睡觉。因为一天高强度的学习和两场大课间自己社团的运动。精神身体都被充分激发。十年树木，百年树人。假以时日，如果这个政策的最终结果是，家长真的有这么高的满意度，我想，兵荒马乱成这样，那也是值得了的吧。
47,知乎城市精英中层虽然天天悲天悯人，但眼里是没有底层的，生怕取消了补习班自己的孩子会跟底层的孩子站在同一起跑线上
48,“减负”这种东西说到底就是跟“离婚冷静期”一样，就是上面一拍脑门我们“社会主义国家”怎么能有离婚这么不和谐的东西呢！赶紧给我“冷静冷静”。所谓的“减负”也是一个道理，我们“社会主义国家”怎么能有内卷这么不和谐的东西呢！赶紧给我禁了，不过是这一块作为一个产业聚集了一些资本和从业人员给了一些人YY的空间的罢了！所以扯什么选拔“有天赋”的人才扯什么打压资本的全是想太多！至于这个所谓的满意和“离婚冷静期”下离婚率暴跌一样，“被减少”的那些本打算离婚的夫妻肯定是在这个“离婚冷静期”中重归于好，破镜重圆从此过上了幸福快乐的生活，完结撒花！同样“减负”后的孩子从此就没有了升学压力高中、大学随便上，将来无论做工人、打灰、996、007还是别的什么，大家都有一个美好的未来呢！
49,这种问卷恐怕他们自己也不信。所以质疑问卷靠不靠谱的都没抓住点，这个问卷就是走个流程，至于结果多少，只要不是10%20%，都不重要。
50,周围的家长总体还是满意的，细节方面可能还有些吐槽、不满意的地方，拿1~3年级来说，以前就是下午三点放学，孩子没地方去，只能送托班，一年下来就得三万块，而且托班只是在写作业还写不完，一般回到家吃过饭还要继续写到晚上八点半，孩子也没啥玩的时间，天天闹着写完作业要看半小时动画片，很多时候都没时间给他看了。现在三点之后愿意回家的可以回家，家长没空接的在学校跟着老师看看书，唱唱歌，做做小游戏，一学期只需要交800块，家长五点半下班正好去接回家，留的作业就是看什么书，和爸妈做些游戏互动之类的任务，不需要检查，可能第二天下午做交流。我们这些家长一年省三万块，孩子也不用写那么多作业，对于我来说当然是非常满意；搞不懂为啥知乎上清一色的不满，还不少阴阳怪气的，有实际问题说实际问题啊，你特么苏联笑话美国笑话能解决问题？对于一些家长的担忧也可以理解，因为班里有五个学生没参加课后班，说是分别在外面学钢琴、舞蹈、游泳，但也有人说那几个孩子在外面参加一对一的辅导，一起的一个家长说咱孩子学得比他们少，被拉下怎么办，不过我是觉得没什么，有5%的人早跑一点无所谓，起码95%的人站在同一起跑线上，就算政策没变那5%的家庭也有各种办法提前气泡，现在家长负实打实减轻了就好。教育部说97.5%的家长满意我不信，但看知乎我还以为是97.5%的家长不满意，现实生活中，我周围家长多了不敢说，8成以上人是支持的。对了，托班和少儿培训机构的人肯定不满意啊，断人财路呢。
51,他们问卷都已经找到答案了，还问我们干啥？就满意吧～～看来我和知乎网友是那2.5%呗
52,好成绩啊豆瓣最高分电影都才9.7想起来一件旧事卢本伟开挂一事简直就是传的满城风雨，到处都是卢本伟开挂的视频和实锤，卢本伟只能直播为自己洗白，他表示：我的SKS怎么了？你们不要相信我的开挂传言！很多职业选手都能打出这种操作的，我马上问一个二线绝地求生教练，我问他我到底什么水平！然后五五开就开始了微信询问结果卢本伟一点开教练的语音，教练说：现在很多职业选手的操作，也基本达不到目前卢本伟你的水平！我卢本伟，没有开挂！！！
53,减到了，哪怕是初三面临严峻中考，家长群也不再发课堂测验成绩，无F可说。
54,这个事情，去各个学校的门口看下，学生是几点上学，几点放学，不就很清楚了吗？你让家长填表，不就是让家长说满意吗？坐标南京，目前没有任何变化，早上七点二十进学校，晚上九点半晚自习下课，周日补课半天，据说有些学校周日补课一天。
55,作为一个真的参加了相关问卷调查的家长，说点不一样的。首先问卷是真匿名的。很多答案里竖靶自打的那个靶子不存在。也许过去的经验确实让大家觉得所谓调查问卷就是种种手段诱导人违心作答的形式主义，但现在真的不是。第二，从平时和相熟的家长聊天交流中来看，大家确实满意度很高。这没什么太难理解的，只要不是焦虑爆炸的鸡娃派，其实对这几年的恶性内卷都看得很明白。第三，孩子开始有点担忧托管，后来发现意外的开心。当然她们学校的托管确实做得好，有课业辅导（做作业），有操场活动，有阅读时间，有劳动。孩子和同学相处的时间大大增加了，回家眉飞色舞地分享一起打扫卫生时那个疯劲儿让我想到了自己的学生时代。那天和人聊天才说起，现在孩子好像又回到了我们小时候，5点半放学，作业写得差不多了，在家帮着做做家务，帮着收拾收拾菜，看看电视，吃完饭还能全家去遛个弯儿，打个球，回家孩子把门关起来神神秘秘写写日记，看看小说，这在之前确实是没有的，因为时间不够。就这样。
56,“双减”政策究竟做了什么？取得的成效如何？教育圈内发生了哪些变化？家长们老师们究竟满不满意？
57,牛啊政策出台不到一个月，学生开学不到一个月甚至还没开学，就得出了这么多家长满意的结论可比七普强多了
58,第一反应，啊？这个结论和我周边的情况差别真是太大了。我是家长，不在义务教育阶段，我不满意。我认识的家长，义务教育阶段的，大部分不满意，个别满意，还有没评论的（默认无所谓）。可能我被2.5%包围了吧！
59,数据能不能编小点？或者加上哪个学校哪个班的家长这么觉得也行啊。
60,不知道这个调研是怎么做的，如何抽样的？通过什么途径实施？样本量分布式怎样的？通常情况下一个客观的满意度调研不会达到这么高的分数。至于5000多万样本得出这么高的满意率，个中原因本身就很有意思。在公司负责每年的满意度调研，虽然一再向员工声明调研是匿名的，在填写的时候大部分员工还是有顾虑，分数普遍偏高。个中原因，其实我们都懂。中秋的时候和刚外甥上初中的姐姐电话聊天，说到现在不让上补习班、学生减负的情况。负担是减了些，但焦虑感却增强了。家长现在连考试成绩都不知道，对孩子学习情况是两眼一抹黑，却又无可奈何。这种情况应该不是个案，问题也不止这些，还需正视解决！
61,这个调查问卷是调查谁？覆盖率多少？有没有采取威压手段？是家长填还是老师教孩子填？
62,呵虚假的双减：再也不用补习班真实的双减：禁止双休线上补习，工作日可以去，双休日可以线下看离线网课。减个寂寞小孩不考中考么？小孩不考高考么？学校里教的东西到底孩子跟得上么？期末考试难度降低么？最大的问题不就是学校要求孩子这会那会，但是教学速度快，小孩子知识来不及吸收只能校外补么？有的学校小学一年级就上2位数乘除法，不去补课，小孩考试比得过么？我问得两位姐姐她们都表示双减没用，孩子一个小学，一个初一。学校的教学速度和内容就是这么快，这么多。你不外面上课教补课钱，小孩就是成绩差，考不上好学校。给孩子什么样的教育环境，这和双减完全没关系，这是教育方针的问题。这97%的家长都是放羊式养娃么？我不信。你以为的双减：家长群终于没有作业要看了实际的双减：妈妈，老师上课说这些“可以”不做～好的，快点把这些做完再睡觉。
63,我不知道这种填表调查有什么意义，反正我们是按标准答案填表的狗头
64,这个问题下的一些回答，表面多角度多层次，实际不过是教培机构经营者利益受损后的疯狂反咬。但是必须要说，不管这项调查怎么样，双减工作有利于社会，而你们就是打击对象！
65,这个满意度居然比身体对疫苗的满意度低了2.5%？？？？？要知道18亿＋次的疫苗都是0死（你说不是0，来你出证明副作用是疫苗导致的我回答改成99.9999%）区区几千万几亿家长居然才97.5%，说明有的人还是嘴上不老实，明明身体很开心也没见带着孩子移民离开中国，怎么就加入那2.5%不满意的了
66,问题一：是匿名回答吗？人群范围。问题二：调查，监督，公证，是哪些人。
67,人在高考大省，小镇伪做题参与分子，曾经有幸参与到一次减负中作为小镇非积极少年，每次减负到我们这儿就属于灾难性成绩下降，和学生灾难性质量下降，每次减负政策会导致某一届或几届高考成绩大幅度下降简称，为楼上的让路因为不能匿名只说这么多当年我班主任，差不多30老老师最讨厌开始减负，因为他说，到最后是你们倒霉
68,我表示，我家孩子的问卷是我们老师发给我们的，答案也是事先圈好告知我们让我们按照固定答案选择的。我也很想真心实意的回答，奈何不愿孩子受牵连，只能不要脸的配合作假。我不知道这97.5%的问卷里有多少这样的回答。下面是新想起想要补充的内容：我小时候是在新疆某村的小学读过几年书，坦诚说，咱们提起边疆，总觉得那边特别落后，我作为河北与新疆小学生涯都度过的人来说，新疆那边真的教育理念不知道要高出内地几何。就连我儿子现在读的小学，我都觉得教育思想又死板又落后，完全赶超不上二十多年前我读的新疆小学。那边真的在认真执行素质教育，我记得学校开创了兴趣班，好像是每周有两天的下午，学校的某些教室就变成兴趣班的上课点，大家按照自己的兴趣去选择上各种课外课，我当时选了书法毛笔字，我同桌是足球，我前桌是美术。。。。。。我现在毛笔字会写横竖撇捺都是当时的书法老师教的，最关键的是完全免费。我记得每年六一学校除了举行歌舞联欢会之外，还会在各个教室举办各种竞技游戏，我记得什么盲人画鼻子，小猫钓鱼啥的，做赢游戏，那个教室里负责组织的老师就会奖励个小文具啥的，我记得我们大家都是从第一个游戏教室玩到最后一个，赢了一书包小玩意，开心极了。哦，对了，好像有个下象棋的教室，没人捧场，害的那位老师站在教室外边高声吆喝着“拉客”，那个老师从未教过我，但是他又着急又无奈的表情这么多年我都记得......除此之外，我们的小学每年还会举办什么演讲比赛，讲故事比赛啥的，还有劳动教育，讲真，三十年快过去了，那三年的小学生涯已然是我童年时期最值得追忆的生活。别觉得我们学校是啥重点小学，那只不过是新疆某靠近天山的博乐市精河县大河沿子镇下的某村的一个普通小学，名字都起的非常随性，因为在一条小河的西侧，所以叫河西小学（这么多年也不知道改了没有），就这已经完胜我儿子目前所在的学校了。什么叫素质教育，也许河北这边的素质教育就是老师布置的所谓的手抄报吧，哦对了，内容还是什么爱国啊爱党啊，孩子都不是很懂的内容，完全就是给家长布置的。
69,我也是填的全部满意，不敢不满意。（因为截图需要发班级群）事实上：家长最受不了的，其实不光是不能接，还有不能送。我们家长上午工作时间是8点，学校要求7点55以后才能送孩子去学校，谁能工作单位离学校就5分钟路啊？送孩子和迟到划等号。我身边现在现实是：家长工作时间早8-12，下午3-6。学生的在校时间是：早7：55-11点（低年级）或11：40（中高年级）。下午2：50-6。总之，低年级的学生，家里仍然必须有大人不工作专职接送孩子。
70,还有2.5%是不用手机吗？还是村里没有通网
71,怎么会不满意呢？本地初一年级：午托安排上，中午可以不回家；晚托安排上，可以在学校待到七点；据教育局的文件精神，还要探索初一开始上晚自习。家长的确是轻松了很多，但是不是眼不见心不烦那就说不准。指望多出来的在校时间，学校会安排各种丰富多彩的活动，那可能真的想多了。多的时间都会拿来卷。你以为的各类活动只是真实停留在展板中、网站图片上。所谓的双减，只是换了对象的双加；所谓的双减，沦为校长们的奉旨补课。哪有什么岁月静好，不过有人为你负重前行。关于午托：午托是有必要的，很多家长没这个条件接送。但是拜托把条件搞好一点，起码有张床。每每看到学生趴在桌子上午睡，心里很不是个滋味。关于晚托：晚托到那么晚，如果不是住宿制，真的弊大于利。把孩子都丢在学校，老师已经筋疲力尽，管不好。拜托让家长们正常下班不行吗？正常上下班才是老百姓最大的幸福感与获得感。
72,不管成效如何，这说明有2.5%的家长还不懂得感恩
73,引用古手女士的一句话可不敢不支持
74,小学一年级的家长其实还是有点焦虑的不是说双减不好，对于我们这种没有老人帮忙的家庭，课后延时服务确实帮了很大的忙这个是感激的但是放学回来问小孩学了什么，一问三不知也没啥作业，压根就不知道小孩在学校里学了什么，至于学的咋样？这一问三不知的情况能好到哪里去发愁回去还是得自己去辅导，看看小孩到底学了些啥，学的怎么样
75,初三家长来答一个。作为一个普通家庭的初三家长，家里没有权没有其他后路，孩子的成绩是目前能决定孩子未来的最大影响因子，你说这个成绩能不重视吗？孩子的成绩除了自身的努力还有就是外部的教育资源，包括学校的师资，培训等，那作为家长可以给孩子的带来的助力也就有限了。有部分家长可能非常优秀自己就可以给孩子额外辅导，但对于像我这样的普通家庭我相信大部分家长还是选择去校外培训。现在这个双减政策出来以后确实周末的补习班都已经停止了，但是丝毫没有减少我家的焦虑感。人生不能重来，在像我这样的家庭（独生子女）和社会外部条件之下，也许没有上重点没有上高中未来也可以过好，但是无疑这条路将会更辛苦，作为体验过的人我不希望我的孩子会走上这条辛苦的路。如果，我是说如果孩子本来通过努力外加课外的一些补强可以考上重点高中现在去了普高，如果本来可以去普高现在去了职校，我就问下大家这样可以接受吗？我和自己的孩子充分沟通过，接下去该补的那还是硬着头皮得去，别家孩子怎么样我们也管不着～～双减政策出发点也许是好的，只是配套的东西都没有跟上，只是单纯的一刀切，往小了说是对于学生培训的需求忽视，往大了说就是社会就业关系对等的需求选择视而不见~~至于说社会调查，家长大部分满意。。。呵呵明白的都明白。义务教育是一个12年的长期项目，现在出个政策还没有到一个月，就来说满意，这不是耍流氓嘛。。。
76,问卷在这其实也没啥好填的，三线小城政策还没响应到这我不填满意能填啥
77,我不知道双减工作具体成效如何，但对统计数据，可以说一点自己的切身经验。几年前，我做记者的时候，接到一个线索，某地某项民调造假。我跑了几条街，从很多人家拿到社区发的民调“资料”——A4纸上印着每个问题的标准答案……居民们告诉我，相关工作人员入户介绍此次民调，发放该标准答案，并告诉他们接到调查电话时照着纸上的答案回答。持续溯源发现，这不是几个街道的事，某市区主管部门曾召集辖区各乡镇、社区负责人开会，现场发放标准答案、布置民调应对方法。我的调查只到了该区相关主管部门一把手这一级。挂了该一把手的电话后，体制内和媒体打交道的牛鬼蛇神们，一个个疯狂联系我、我的同事、我的领导，有命令、有劝导、有打感情牌……总之就是让我放弃该报道。2个小时不到，某部门副部长直接跑到了我办公室，邀我出去共进晚餐。几乎同时，领导也电话我，稿件没签发，还是算了吧，不好报道……说这个故事，只是闲来无事吐吐槽，没有其他意思，也不构成对该问题的回答。
78,调查问卷呀～你们读书的时候填过学校的调查问卷吧。老师是不是会暗示，要怎么填怎么填……还有的是不是没见过问卷，结果就出来了。
79,这个统计数据，我就呵呵了，孩子班上40多个学生，貌似没几个满意这个减负的。孩子是越减越负
80,97.5%好家伙我们这边小学家长群全部都叫苦连天，考试制度不改，学习压力降低只会导致孩子落伍好么；卷的最终考核就是中考高考，这个不变，那么孩子的学习压力只会从各种外部培训班转嫁到家长身上；亚历山大
81,那2.5%的家长是什么情况？居然敢不满意？
82,双减我支持但是别搞形式主义啊还嫌反贼二鬼子们手里刀子太少了吗？
83,这个问题下的回答只有发泄情绪的吗
84,有一个好消息：取消996有一个坏消息：工资少了
85,呵呵呵！这就是我作为两个孩子家长的回答。
86,这种问卷不是选A就是选D，没什么意义。
87,我父亲是工厂主管工作很忙的那种工作黑白两班倒前几年我看他累的不行因为生了二胎弟弟在某不可名状的大城市读小学什么都要他教作业要教音标要教每天中午还要回去给弟弟做饭每天上完夜班中午还要起来做饭下午弟弟放学就要起来辅导作业小孩子又淘气你教他他还老大不乐意我觉得如果我是我父亲那种状态我是真的不舒服家长群里每天一堆事又不能不看问题是我爸自己也是管着一个月产值近千万的部门哪有时间看弟弟是继母所生继母文化程度不高帮不上忙现在教育部双减我能明显感觉到我父亲的气色变好了休息也足了（反弹一切诅咒）
88,作为一个爱搞事情的家长没有收到问卷的邀请作为一个好奇心严重的家长想法设法搞来了问卷入口作为一个敲了10多年代码的家长发现这个问卷有身份追踪不是匿名的
89,双减基本上还好，补习班又没少，可以不参加课后服务，直接去上补习班。愿意上课后服务的，就上课后服务。唯一的差别就是节假日不能上补习的了，但是可以上兴趣班。基本上没啥影响，只是提供了一种选择。
90,居然还有2.5％不满意的，这可不行，得了解一下原因
91,这个数据领导脑袋拍一下得死多少脑细胞啊
92,他们不满意？他们谁不满意？谁是他们？搞笑呢，谁问他们？
93,百姓有得钟者；欲负而走；则钟大不可负；以椎毁之；钟况然有音。恐人闻之而夺己也。遽掩其耳。恶人闻之；可也；恶己闻之；悖也。
94,你问我老师留没留作业？我肯定说没留，因为要是老师真不留一丁点儿作业的话，那我就真的不满意了。咱们都不卷了还不好？好！然后该干啥干啥
95,有多少人信？反正我不信，其他人我管不着。
96,非常成功，个人表示再也没有孩子的负担了
97,若批评不自由，则赞美无意义。
98,如果一个刚开张的餐馆这么问，我觉得情有可原，你一个大单位，一个政策刚刚开始执行，你问大家满意不满意，这是不是属于有点不负责任？最起码，过一个月再问也合适点啊。
99,这概率很奇怪，高的离谱
100,最怕的不是暴露问题，而是自欺欺人。你懂我懂大家都懂的“数据”有什么意义？何时才能真正尊重你民意？
101,这个我熟，我永远都正好是剩下的，那一小撮，不识趣的，狗肉不上正席的，不识抬举的，没有集体主义精神的，没有大局观的，不讲政治的，百分之2.5。我就不明白，我怎么打小，就正好，恁么，250呢？就不能有特么一次，我也在多数派里吗？还是稍微扣一下题吧：这个祸国殃民的蠢政策，最终必将以极其羞耻的姿势滚出历史舞台。
102,怎么可能不满意呢？谁敢哦！
103,我笑，它们说我这是幸福的笑。我哭，它们说我这是感动的哭。我说不是，我这是无奈的苦笑，绝望的痛哭。它们说，你随便，反正别人听不到你的说法，只能听到我们的！
104,保密工作出现严重失误，这种给领导看的东西怎么能泄露出来呢？这让下面同志以后工作怎么开展，维稳压力增大多少，对于这种情况相关负责人一定要深刻检讨，
105,新鲜出炉的晚上活动时间，我老婆今天和我说起来孩子一晚上都在忙，感觉没干什么事就到了九点半要小孩准备上床睡觉了，都没时间练钢琴和看课外书。坐标上海，小学二年级。我记得我小时候作业都是晚饭前就写完了，现在的孩子还是有点累，作业虽然能写完，但确实没有玩的时间和业余活动的时间。
106,不满意。娃小学，作业每天至少一个半小时到两个小时，对作业量没意见，已经习惯了。但是课后服务安排别的，回家才有时间写……吃饭和路上花一些时间，写的快的时候都到21点了，有时候作业多或写的慢一点，就没法说。喜欢阅读，但太累了，只能在睡前趴着看会书，眼睛近视怎么办？孩子的负担减了吗？学校经常突然要买东西：演出服、小白鞋，尤其是学具，总是到跟前才说，要的特别急，当家长都没事干？！虽然不涉及乱收费，但家长的负担减了吗？想生的生一个体验体验得了，不想生的就不要为难自己遭这份罪了。
107,家长能对啥不满意？
108,不满意的都在知乎毕竟高考既得利益者这就是改革的阻力
109,我反正没孩子，也大了大学也上完也工作了。我是无所谓未来孩子咋样的，这么累生来干啥比玩玩游戏任务还多
110,双减实际上减的就是家长的负担，省钱又省事，家长当然满意了，剩下的2.5%估计是当老师的家长。双减工作学生的负担有没有减可能不同的人的想法不同，但是老师的负担绝对加重了，普通家长的负担则是减小。
111,这种结论本身就不是给群众看的。
112,非常不满意，特别是语文的作业。
113,孩子经常带回家一些学校调查问卷，要家长签字：能不赞同吗？能不应该吗？敢不满意吗？
114,我一直在想中国的各种数据是怎么调查出来的，出了人口普查的时候，学校填过表，社区打过电话来，我说我在外地读书以外，这些杂七杂八的调查从来没来过我家。
115,你们是真能自欺欺人，呵呵
116,不管你信不信，反正我信了
117,我本身是支持这个政策的但这么说吧，我遇到的家长，就没一个满意的，很神奇，没有一个
118,我给一个初三学生补习过，在双减之前，他每周五五点多放学，我们有时候六点会排课。现在双减了嘛，他每天自习到晚八点然后放学，而且看起来很疲惫的样子。我问，你们不是双减了嘛？他叹了一口气。PS：最近双减了嘛，已经不补课了，但我们加过微信，平时问题什么的会有联系。
119,要管都管住，高中呢？为啥不管？衡水中学该咋样还咋样
120,调查问卷。。。喝喝~我有一个朋友。。。他盲猜教育部的这些领导们家里都没有适龄儿童没有感受过双减的优劣而我的另一个朋友义正言辞的反驳了他不是家里没有适龄儿童而是人家的适龄儿童和你家的适龄儿童能一样么？
121,调查问卷发给谁了，有多少样本。要是填调查问卷的都是一些即使减负也不会影响自己孩子教育资源和录取名额的既得利益方，那么这调查有何意义?岂不是掩耳盗铃?
122,这就太急功近利了，刚颁布的减负才几个月啊？就出成果了？说出来你信？反正我是不信的！再说了97+5%的家长，你又都问卷谁了啊？反正是没有问卷到我！你们就这样吧报告交给领导看，领到会信？这也太侮辱智商了！
123,首先想知道这个调查问卷是怎么来的？作为一个家有6年级小学生的家长，我第一个对减负这个问题反对，我身边的孩子爸爸妈妈们意见也和我差不多.还减负呢！有本事就把高考取消吧！给孩子减负上了高中负担更重！什么让孩子分层啊？确定那不就是让阶级更加明显？有钱有势有能力的上大学，让不行的孩子上技校？问题是这些孩子你怎么知道他考不上大学呢？连个机会都不给就这样扼杀这叫减负吗？
124,警惕拜登打减负牌
125,是吗？我连统计基数都没混上，真失败
126,在老师如沐春风的微笑中我完成了问卷，挽救了我。看着小女儿课上只学一点加减法，英语课不学了，很多不会的题没地方问，没有检测，没有巩固，没办法提高，我想让他把自己不会的题问问隔壁邻居老师，我拿了一点小礼品敲她的门，把她吓得差点就给我跪下，说不会就不会，别做了，她也不知道怎么回答我，我真的超级满意，只是夜深人静想到我没有不满意的选项，又有一点低落，如果确实没有另一个选项的情况下，能像北师大电梯事件那样我也满足了，能让我在问卷上按自己的想法写一句，就一个选项也可以，我不多说。起码电梯事件还是可以吐槽几句，愤慨一下的。
127,我一看到这个标题直接在课上没蚌住笑了出来。咱别搞笑了，减没减大伙儿心里都有数，没必要再提一嘴，何必呢？非要给登子递刀和牌。最后还不是得靠大伙儿感恩。
128,老师：明天家长把这个调查表填好，填满意，会有电话回访，说满意。家长：老师辛苦了。家长：老师辛苦了。家长：老师辛苦了。家长：老师辛苦了。家长：老师辛苦了。家长：老师辛苦了。家长：老师辛苦了。家长：老师辛苦了。家长：老师辛苦了。家长：老师辛苦了。家长：老师辛苦了。家长：老师辛苦了。家长：老师辛苦了。家长：老师辛苦了。家长：老师辛苦了。家长：老师辛苦了。家长：老师辛苦了。家长：老师辛苦了。家长：老师辛苦了。家长：老师辛苦了。家长：老师辛苦了。家长：老师辛苦了。家长：老师辛苦了。家长：老师辛苦了。家长：老师辛苦了。家长：老师辛苦了。家长：老师辛苦了。家长：老师辛苦了。家长：老师辛苦了。
129,报告首相，我们抓到了2.5％的现行反革命
130,我觉得我们官媒出问题了。明明是回到一个正常状态，洋洋得意什么呢？再说了虽然网络是重要阵地，但求求你们多走动走动下到民众身边调查，现在官媒简直就是网络观民情，说些讨好网友的话，好几次的新闻都是抢热度出问题，已经渐渐失去可信度。还有科技是好东西，但不是什么都用，有些传统办法好就用传统办法，不要矫枉过正了。我真心觉得咱们的宣传口，正经的官媒还是要树立几个（比如央视，新华社），和民众打一片的官媒也可以树立（各个地区的共青团），你搞得全部官媒下场和网友打闹，还为了迎合网友做一些意义不明的视频，谁能到关键时刻说句正经话让大家立马信服？
131,有谁敢说不满意吗？
132,某狐媒体：我怀疑政府收集了5700万份问卷得出的结论，所以我上知乎找120个人问问看看真假。你搜狐搁这儿挑唆民意反党反政府呢？
133,利益相关，机构老师。说实话，双减出来之后我一度很担心自己会失业。没想到秋季开学我反而觉得更轻松了。现在周内晚上上课，所以我们上班时间调整到下午1:30到晚上9:00。我早上有时间做饭，整理房间，还可以不用请假去医院，有时候还能逛街。节假日也不准上课，工作以来第一次中秋回家团圆了。虽然学生少了一点，工资也比以前少了，但我心情好了，不吃外卖，饮食作息规律了，最近还瘦了。不知道机构可以撑多久，撑不下去就休息一段时间，换个行业。最初是考虑考编，工作这几年越来越不想了。我在各个app里都看了不少老师的吐槽，基本上是各种临时通知多，朝令夕改，个别家长难沟通，工资低等等。双减之后还多了一个，工作时间长。我看到的，学校现在基本上老师的工作时间应该是在11-12个小时左右。早上7点左右到校，6点学生离校，回家做饭，备会课，改回作业，差不多该睡了。有的初高中班主任，还要查寝，11点能不能到家都还不确定。辅导机构工作时长已经比较长了，我们压力最大的续班期我每天的工作时长差不多11-12小时，那段时间我的状态就是，易怒，暴躁，累，睡不饱，饮食不规律导致长胖，胃疼，经常爆痘，免疫力下降，经常生病感冒。但一放假，休息一段时间，这些症状都减轻了。这也是我比较担心学校老师的一点，每天身心俱疲，怎么上好课呢？不知道家长会不会满意，但我知道的学校教师朋友感觉人都要废了。
134,农村学校老师一枚且不说课后服务让人崩溃就说练习册都只有一本，就很纠结。没有作业啊，不能考试啊。怎么检测学生们是否学会了呢？如何巩固呢？倒是减负了，但是真的对学生好吗？孩子们不做练习能会吗？不考试都觉得自己棒棒哒，觉得自己会了。感觉现在是矫枉过正。过犹不及啊，呼吁适度
135,成效调查问卷请对以下问题选择是否满意问题1...问题40提示：全选满分或全选不满意将无法提交
